sr_no,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline,english_text
916,282069,ja,寄生獣,54.381,11/29/2014,7.1,162,"['Science Fiction', 'Horror']","Alien pods come to Earth and, naturally, start taking over Human Hosts. One such pod only manages to take over one human's, Shin Izumi, right arm. Together they grow and co-exist, all the while the other aliens are making meals of other humans; Shin feels he must put a stop to it all, but his alien, Migi, doesn't see why.",$0.00,109,,Parasitic beast
949,476292,ja,さよならの朝に約束の花をかざろう,71.389,2/24/2018,8.4,392,"['Animation', 'Fantasy', 'Romance', 'Drama']","Maquia is a member of a special race called the Iorph who can live for hundreds of years. However, Maquia has always felt lonely despite being surrounded by her people, as she was orphaned from a young age. She daydreams about the outside world, but dares not travel from her home due to the warnings of the clan's chief.  One day the kingdom of Mezarte invades her homeland. They already have what is left of the giant dragons, the Renato, under their control, and now their king wishes to add the immortality to his bloodline.  They ravage the Iorph homeland and kill most of its inhabitants. Caught in the midst of the attack, Maquia is carried off by one of the Renato. It soon dies, and she is left deserted in a forest, now truly alone save for the cries of a single baby off in the distance. Maquia finds the baby in a destroyed village and decides to raise him as her own, naming him Ariel. Although she knows nothing of the human world, how to raise a child that ages much faster than her.","$4,300,000.00",115,In a world where love is forbidden... they will find love.,Let's hold the promised flower on the goodbye morning
1137,475215,ja,未来のミライ,55.562,6/16/2018,7.2,523,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Drama']",The movie follows a 4-year old boy who is struggling to cope with the arrival of a little sister in the family until things turn magical. A mysterious garden in the backyard of the boy's home becomes a gateway allowing the child to travel back in time and encounter his mother as a little girl and his great-grandfather as a young man. These fantasy-filled adventures allow the child to change his perspective and help him become the big brother he was meant to be.,"$27,526,961.00",98,A daringly original story of love passed down through generations.,Future Mirai
1141,4935,ja,ハウルの動く城,52.706,11/19/2004,8.4,6789,"['Fantasy', 'Animation', 'Adventure']","When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","$236,049,757.00",119,The two lived there.,Howl's moving castle
1159,796849,ja,彼女,46.443,4/15/2021,6.4,87,"['Drama', 'Romance', 'Thriller']","Rei helps the woman she's been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire.",$0.00,142,,she
1299,552687,ja,ヲタクに恋は難しい,51.684,2/7/2020,7.1,37,"['Comedy', 'Romance']",An effervescent musical about one of the most unlikely couples seen on screen: two Otaku intent on hiding their nerdiness from their colleagues!,$0.00,114,,It's difficult to fall in love with Otaku
1349,242828,ja,思い出のマーニー,41.842,7/19/2014,8.0,1292,"['Animation', 'Drama']","Upon being sent to live with relatives in the countryside due to an illness, an emotionally distant adolescent girl becomes obsessed with an abandoned mansion and infatuated with a girl who lives there - a girl who may or may not be real.","$34,949,567.00",103,"Promise we'll remain a secret, forever.",Memorial Marnie
1361,37797,ja,耳をすませば,48.276,7/15/1995,7.9,1318,"['Animation', 'Drama', 'Family']","Shizuku lives a simple life, dominated by her love for stories and writing. One day she notices that all the library books she has have been previously checked out by the same person: 'Seiji Amasawa'.",$0.00,111,I found someone I like,If you listen to it
1510,619432,ja,木ノ葉の里の大運動会,41.663,8/21/2004,7.1,6,"['Action', 'Animation', 'Comedy']","The genin of Konoha are having a sports day filled with races, obstacle courses and of course the relay and the prize is a paid vacation for the winner. Unfortunately Naruto and his stomach are getting him into trouble again.",$0.00,11,,Kinoba no Sato's large athletic meet
1601,315465,ja,バケモノの子,44.212,7/11/2015,8.1,1097,"['Animation', 'Fantasy', 'Action', 'Adventure', 'Drama']","Kyuta, a boy living in Shibuya, and Kumatetsu, a lonesome beast from Jutengai, an imaginary world. One day, Kyuta forays into the imaginary world and, as he's looking for his way back, meets Kumatetsu who becomes his spirit guide. That encounter leads them to many adventures.","$49,714,378.00",119,,Bakemono child
1655,589082,ja,薄暮,48.276,6/21/2019,6.5,15,"['Animation', 'Drama']","Hakubo tells the story of two young people who live in rural Fukushima: Sachi Koyama, a girl who excels at playing the violin, and Yuusuke Kijinami, a boy who loves to paint. After an awkward, chance encounter, the two meet and begin to fall in love, but Yuusuke is still living in the shadow of the 2011 Tohoku earthquake and tsunami.",$0.00,52,,Dying
1715,16007,ja,デスノート,36.842,6/17/2006,7.0,473,"['Fantasy', 'Mystery', 'Thriller']","Light Yagami finds the ""Death Note,"" a notebook with the power to kill, and decides to create a Utopia by killing the world's criminals, and soon the world's greatest detective, ""L,"" is hired to find the mysterious murderer. An all out battle between the two greatest minds on earth begins and the winner will control the world.","$27,793,200.00",126,The battle of wits begins. Whose side are you on?,death note
1717,149,ja,アキラ,43.538,7/16/1988,8.0,2872,"['Animation', 'Science Fiction', 'Action']",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,"$553,171.00",124,Neo-Tokyo is about to E.X.P.L.O.D.E.,Akira
1757,8392,ja,となりのトトロ,42.16,4/16/1988,8.1,5731,"['Fantasy', 'Animation', 'Family']","Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.","$45,000,000.00",86,,My Neighbor Totoro
1768,127533,ja,るろうに剣心,35.933,8/25/2012,7.6,535,"['Adventure', 'Action', 'Drama', 'History']","Former legendary assassin Kenshin Himura has now become a wandering samurai. Offering aid & protecting those in need as atonement for his past deeds. During this time Kenshin Himura comes across and aides Kaoru Kamiya (Emi Takei). Her father opened the Kamiya Kasshin-ryu, a kendo school located in Tokyo and Kaoru is now an instructor there. Kaoru then invites Kenshin to stay at her dojo. Their relationship develops further, but Kenshin is still haunted by his violent past...","$61,700,000.00",134,The Journey Begins,Rurouni Kenshin
1794,11621,ja,紅の豚,37.119,7/18/1992,7.8,2276,"['Family', 'Comedy', 'Animation', 'Adventure']","In Italy in the 1930s, sky pirates in biplanes terrorize wealthy cruise ships as they sail the Adriatic Sea. The only pilot brave enough to stop the scourge is the mysterious Porco Rosso, a former World War I flying ace who was somehow turned into a pig during the war. As he prepares to battle the pirate crew's American ace, Porco Rosso enlists the help of spunky girl mechanic Fio Piccolo and his longtime friend Madame Gina.",$0.00,94,A Pig's Got to Fly,Red pig
2007,378108,ja,この世界の片隅に,36.635,11/12/2016,8.1,410,"['Drama', 'Animation', 'Romance', 'War', 'History']","Japan, 1943, during World War II. Young Suzu leaves her village near Hiroshima to marry and live with her in-laws in Kure, a military harbor. Her creativity to overcome deprivation quickly makes her indispensable at home. Inhabited by an ancestral wisdom, Suzu impregnates the simple gestures of everyday life with poetry and beauty. The many hardships, the loss of loved ones, the frequent air raids of the enemy, nothing alters her enthusiasm…","$19,496,308.00",130,Torn apart by war. Brought together by love.,In one corner of this world
2026,128,ja,もののけ姫,40.337,7/12/1997,8.4,5907,"['Adventure', 'Fantasy', 'Animation']","Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.","$159,414,369.00",134,The Fate Of The World Rests On The Courage Of One Warrior.,Princess Mononoke
2036,181656,ja,アシュラ,35.496,9/29/2012,7.0,56,"['Animation', 'Drama', 'History', 'Horror']","Abandoned in the barren wasteland of Kyoto, a savage, enraged orphan does whatever it takes to survive in the wild. When he crosses paths with civilization, he must learn to tame the beast within.",$0.00,76,"Born A Beast, To Be Human",Ashura
2042,16859,ja,魔女の宅急便,42.842,7/29/1989,7.8,2802,"['Animation', 'Family', 'Fantasy', 'Adventure']","A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.","$4,493,017.00",103,"I was feeling blue, but I'm better now.",Kiki's Delivery Service
2049,149870,ja,風立ちぬ,34.018,7/20/2013,7.8,2091,"['Family', 'Drama', 'Animation', 'War', 'History', 'Romance']","A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.","$117,932,401.00",126,We must live.,Fleeting
2056,10515,ja,天空の城ラピュタ,36.846,8/2/1986,8.0,2966,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family', 'Romance']",A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,"$5,228,752.00",125,"One day, a girl came down from the sky…",Castle in the Sky Laputa
2079,28874,ja,サマーウォーズ,38.454,8/1/2009,7.5,672,['Animation'],"Kenji is your typical teenage misfit. He’s good at math, bad with girls, and spends most of his time hanging out in the all-powerful online community known as OZ. His second life is the only life he has — until the girl of his dreams, Natsuki, hijacks him for a starring role as a fake fiancé at her family reunion. Things only get stranger from there. A late-night email containing a cryptic mathematic riddle leads to the unleashing of a rogue AI intent on using the virtual world of OZ to destroy the real world. As Armageddon looms on the horizon, Kenji and his new “family” set aside their differences and band together to save the worlds they inhabit in this “near-perfect blend of social satire and science fiction.”","$18,434,328.00",114,,summer Wars
2086,257475,ja,たまこラブストーリー,32.762,4/26/2014,6.9,94,"['Romance', 'Animation', 'Comedy']","Devoted to her family’s rice-cake–making business and the high school baton club, Tamako is a little slow when it comes to love. She’s oblivious to her childhood friend Mochizo’s affections, even though all their friends know. With graduation closing in and Mochizo leaving for Tokyo, will Tamako realise her feelings and tell him in time?",$0.00,83,"The end of school, the beginning of love…",Tamako love story
2098,741434,ja,ホムンクルス,39.785,4/2/2021,6.2,51,"['Drama', 'Thriller']","A homeless man meets a medical school student who pays him to volunteer for a surgical procedure known as trepanation, drilling a hole in his skull, which ends up giving him the ability to communicate with the dark side of people’s subconscious minds.",$0.00,119,,Homunculus
2173,283727,ja,アオハライド,32.125,12/13/2014,6.7,45,"['Romance', 'Drama']","When she was a middle school student, Futaba Yoshioka liked Kou Tanaka who was unlike the other boys and quite gentle. Kou Tanaka then moved away and they lost contact.  At the end of Futaba Yoshioka's first year as a high school student she meets Kou Tanaka again. Kou Tanaka’s name has changed to Kou Mabuchi and his personality seems different from his middle school days.",$0.00,122,,Aohalide
2178,110420,ja,おおかみこどもの雨と雪,36.517,7/21/2012,8.3,1648,"['Animation', 'Drama', 'Family', 'Fantasy']","After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.","$55,060,661.00",117,Love wildly,Wolf children's rain and snow
2209,342588,ja,屍者の帝国,38.378,10/2/2015,6.1,64,"['Animation', 'Mystery', 'Horror', 'Science Fiction']","The story of The Empire of Corpses takes place in 19th century Europe, and revolves around John Watson. He is scouted by the government to become a secret agent- However, Watson lives in a world where ""Frankensteins""- human corpses that are re-purposed with a false soul in order to use them as laborers- are used to improve industrial development.",$0.00,120,The dead will inherit the Earth,Dead empire
2243,198375,ja,言の葉の庭,35.138,5/31/2013,7.6,1445,"['Animation', 'Drama', 'Romance']","Takao, who is training to become a shoemaker, skipped school and is sketching shoes in a Japanese-style garden. He meets a mysterious woman, Yukino, who is older than him. Then, without arranging the times, the two start to see each other again and again, but only on rainy days. They deepen their relationship and open up to each other. But the end of the rainy season soon approaches...",$0.00,46,Lost in life. Found in love.,Garden of Words
2247,433950,ja,ひるなかの流星,30.162,3/24/2017,7.8,51,['Romance'],"Fifteen-year-old country girl Suzume Yosano has to move to Tokyo to live with her uncle due to her father's transfer. She bumps into a mysterious man who ends up taking her to her uncle's place after she gets lost. Turns out, Suzume will be seeing him a lot more often once she starts school because... he's her homeroom teacher?!",$0.00,119,,Meteor in Hirunaka
2418,192577,ja,キャプテンハーロック,30.093,9/7/2013,6.6,842,"['Animation', 'Science Fiction']",Space Pirate Captain Harlock and his fearless crew face off against the space invaders who seek to conquer the planet Earth.,"$18,010,317.00",115,,Captain Harlock
2506,40700,ja,僕の初恋をキミに捧ぐ,30.056,10/24/2009,7.4,78,"['Drama', 'Comedy', 'Romance']","As a child Takuma is diagnosed with a heart condition that requires care from a cardiologist. He soon becomes friends with his doctors young daughter Mayu while being treated at the hospital. One day Mayu overhears her father saying that Takumas condition is serious enough that he most likely wont live beyond the age of 20. Takuma isn't aware of this himself, however, so at 8-years-old he makes a promise to marry Mayu when they turn 20. Later in life, Takuma becomes aware that he wont be able to keep this promise and he begins distancing himself from Mayu in hopes of protecting her.",$0.00,122,,I devote my first love to you
2552,553600,ja,プロメア,30.175,5/24/2019,7.3,152,"['Animation', 'Action', 'Science Fiction']","Galo and the Burning Rescue Fire Department face off against BURNISH, a group of mutants who are able to control and wield flames, and the fire disaster they have unleashed on Earth.",$0.00,111,The world ablaze.,Promia
2600,15370,ja,猫の恩返し,38.1,7/19/2002,7.2,1338,"['Adventure', 'Fantasy', 'Animation', 'Drama', 'Family']","Haru, a schoolgirl bored by her ordinary routine, saves the life of an unusual cat and suddenly her world is transformed beyond anything she ever imagined. The Cat King rewards her good deed with a flurry of presents, including a very shocking proposal of marriage to his son! Haru embarks on an unexpected journey to the Kingdom of Cats where her eyes are opened to a whole other world.","$54,016,370.00",75,"It’s not so bad being a cat, now is it?",Cat back
2609,447743,ja,いぬやしき,28.957,4/20/2018,7.7,92,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",A middle-aged office worker encounters aliens and is gifted with alien technology and limitless powers.,$0.00,127,,Inuyashiki
2707,375533,ja,オオカミ少女と黒王子,30.17,5/28/2016,6.6,48,['Romance'],"Erika Shinohara is a first year of high school student. While talking to friends, she makes up a story about her ""boyfriend."" In reality, Erika Shinohara doesn't have a boyfriend. Erika's friends soon begin to doubt her story and Erika is also running out of lies. Erika then sees a pretty boy on the street and takes his picture discreetly. She later shows his picture to her friends as her boyfriend. The boy in the picture is Kyouya Sata and happens to attend the same school as Erika. She tells Kyouya about her situation and asks him to be her pretend boyfriend. Even though Kyouya has a pretty appearance, he has a dark side.",$0.00,116,,Wolf Girl and the black Prince
2719,433128,ja,亜人,29.725,9/30/2017,7.6,67,"['Action', 'Horror', 'Mystery']","Ajin is a live-action adaptation of a Japanese manga series written and illustrated by Gamon Sakurai. Kei Nagai dies in a car accident, but realises he is a type of immortal known as Ajin (demi-human). Hunted by humans, Ajin is eventually found by the government and used as a subject in cruel experiments. He finds fellow demi-humans along the way as he escapes and goes on the run.",$0.00,109,,Subtile
2722,15283,ja,平成狸合戦ぽんぽこ,29.95,7/16/1994,7.1,703,"['Adventure', 'Animation', 'Fantasy']","The Raccoons of the Tama Hills are being forced from their homes by the rapid development of houses and shopping malls. As it becomes harder to find food and shelter, they decide to band together and fight back. The Raccoons practice and perfect the ancient art of transformation until they are even able to appear as humans in hilarious circumstances.",$0.00,119,A Fantastic Tale Of Survival,Heisei Tanuki Battle Pompo
2827,81,ja,風の谷のナウシカ,27.916,3/11/1984,7.9,2488,"['Adventure', 'Animation', 'Fantasy']","After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.","$3,301,446.00",117,A young girl's love called forth miracles…,Nausicaa of the Valley of the Wind
2896,83090,ja,聖闘士星矢,28.959,7/18/1987,7.1,144,"['Action', 'Animation', 'Fantasy']","When Seiya, Hyōga and Shun visit Saori (Athena) at the orphanage, they meet an employee called Eri. An orphan herself, Eri takes a liking to Hyōga and one night they sit outside watching the stars. They see a shooting star and Hyōga asks Eri to make a wish. After Hyōga leaves, however, Eri becomes powerfully attracted to the shooting star and wanders alone into the woods, where she finds a golden apple. She is then possessed by Eris, the Goddess of Discord, and kidnaps Athena, planning to use the golden apple to suck her energy out, fully reincarnate and take over the world. Eris leaves a message for the Bronze Saints, who set out for the goddess's temple which appears on the mountains. There, the heroes fight the five Ghost Saints: Maya of Sagitta, Orpheus of Lyra, Christ of the Southern Cross, Jan of Scutum (called by the Japanese name Tateza) and Jäger of Orion.",$0.00,46,,Saint Seiya
2911,409421,ja,ブラム,28.453,5/20/2017,6.4,211,"['Action', 'Drama', 'Science Fiction', 'Animation']","In the distant technological future, civilization has reached its ultimate Net-based form. An ""infection"" in the past caused the automated systems to spiral out of order, resulting in a multi-leveled city structure that replicates itself infinitely in all directions. Now humanity has lost access to the city's controls, and is hunted down and purged by the defense system known as the Safeguard. In a tiny corner of the city, a little enclave known as the Electro-Fishers is facing eventual extinction, trapped between the threat of the Safeguard and dwindling food supplies. A girl named Zuru goes on a journey to find food for her village, only to inadvertently cause doom when an observation tower senses her and summons a Safeguard pack to eliminate the threat. With her companions dead and all escape routes blocked, the only thing that can save her now is the sudden arrival of Killy the Wanderer, on his quest for the Net Terminal Genes, the key to restoring order to the world.",$0.00,106,,Bram
2965,392681,ja,ミュージアム,25.4,11/12/2016,6.7,50,"['Drama', 'Thriller']","In Tokyo, Japan, several grotesque murders take place on rainy days. Detective Sawamura, who is in charge of the case, soon discovers that his own family is connected to the crimes.",$0.00,132,The serial killer is laughing in the rain,Museum
2980,358632,ja,台風のノルダ,22.105,6/5/2015,6.3,24,"['Science Fiction', 'Animation']","As an unexpected typhoon bears down on a small tropical island, a group of students trapped at school find themselves forced to put aside their personal issues and work together. Not only to save themselves, but possibly the lives of everyone on the planet!",$0.00,27,,Typhoon Norda
3013,14069,ja,時をかける少女,28.902,7/15/2006,7.8,1503,"['Fantasy', 'Animation', 'Drama', 'Science Fiction']","When 17-year-old Makoto Konno gains the ability to, quite literally, ""leap"" backwards through time, she immediately sets about improving her grades and preventing personal mishaps. However, she soon realises that changing the past isn't as simple as it seems, and eventually, will have to rely on her new powers to shape the future of herself and her friends.","$3,800,000.00",98,,A girl who takes time
3027,241863,ja,神さまの言うとおり,25.595,11/15/2014,7.2,287,"['Thriller', 'Horror', 'Comedy', 'Mystery']","Takahata Shun's day at high school begins just as boring as ever, but it doesn't end that way. He and his classmates find themselves forced to play children's games with deadly stakes. With no idea who is behind, the only thing Shun and other students can do is keep trying to win.",$0.00,117,"Oh my God, please return my tedious everyday.",As God says
3032,51739,ja,借りぐらしのアリエッティ,31.086,7/16/2010,7.6,2047,"['Fantasy', 'Animation', 'Family']","14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items ""borrowed"" from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.","$145,570,827.00",94,Do not be seen by humans. That's been the law of children of the underfloor.,Borrowed Arrietty
3045,698201,ja,東京リベンジャーズ,28.569,7/9/2021,7.3,3,"['Action', 'Drama']",An unemployed man learns that his ex-girlfriend was murdered. He suddenly finds himself travelling through time to his middle school years and has chance to change the future and save the girl. He aims to rise to the top of the most brutal delinquent gang.,$0.00,120,,Tokyo Revengers
3086,256765,ja,アルモニ,29.047,3/1/2014,7.0,17,"['Animation', 'Drama']","Every person has his or her own little world. Among the 34 bustling students of classroom 2-1, there are many such worlds.  Honjou Akio's world—my world—is filled with passionate talk about last night's anime with Yoshida, Watanabe, and other friends. It's an fun, comfortable place... But, I always wonder. Wonder about the world of Makina Juri, smiling and surrounded by gorgeous friends on the other side of the classroom.  One day, I enter her world. But it's not as simple as it sounds.",$0.00,26,,Almoni
3096,583132,ja,貞子,17.121,5/24/2019,6.3,61,['Horror'],A psychologist connects her missing brother to the strange case of a mysterious little girl believed to be Sadako reincarnated.,"$5,481,562.00",99,,Sadako
3125,212167,ja,サカサマのパテマ,28.742,11/9/2013,7.4,266,"['Animation', 'Adventure', 'Drama', 'Fantasy', 'Science Fiction']","In an underground world where tunnels extend everywhere, even though they live in dark and confined spaces, people wear protective clothes and lead quiet and enjoyable lives. Patema, a princess in her underground village, loves to explore the tunnels. Her favorite place is a ""danger zone"" that her village prohibits people from entering. Even though she's scolded, Patema's curiosity can't be held back. No one ever explained what the supposed danger was. On her usual trip to the ""danger zone,"" Patema faces unexpected events. When hidden secrets come to light, the story begins to unfold.",$0.00,98,,Sakasama Patema
3151,19576,ja,ワンピース,28.959,3/4/2000,6.8,192,"['Action', 'Animation', 'Adventure', 'Comedy', 'Fantasy']","There once was a pirate known as the Great Gold Pirate Woonan, who obtained almost one-third of the world's gold. Over the course of a few years, the pirate's existence faded, and a legend grew that he disappeared with his gold to a remote island, an island pirates continue to search for. Aboard the Going Merry, Luffy and his crew, starved and reckless, are robbed of their treasure. In an attempt to get it back, they wreck the getaway ship, guided by a young boy named Tobio, who's a captured part of El Drago's pirate crew. El Drago's love for gold has driven him to look for Woonan's island, and thanks to Woonan's treasure map, he finds it. During this time, Luffy's crew have been split up, and despite their own circumstances, they must find a way to stop El Drago from obtaining Woonan's gold.",$0.00,51,,one piece
3337,438551,ja,ピーチガール,28.411,5/20/2017,7.0,37,"['Romance', 'Comedy', 'Drama']","It's not easy being beautiful. The envy, the jealousy, the vicious rumors spread by your best friend. That's life for young Momo. While everyone thinks that Momo is a wild party girl, the reality is that she is shy and lonely. Can Momo confess her love to her classmate, Toji, or will her best friend Sae steal him away. It's a bittersweet drama of growing up and fitting in that will charm readers everywhere.",$0.00,116,,Peach girl
3443,449132,ja,君の膵臓をたべたい,23.184,7/28/2017,6.8,66,"['Drama', 'Romance']","I (Takumi Kitamura) am a high school student. I happen to find a diary by my classmate Sakura Yamauchi (Minami Hamabe) that reveals she is suffering from a pancreatic disease. I spent time with Sakura, but she dies.  12 years later, due to Sakura’s words, I (Shun Oguri) am now a high school teacher at the same school where I graduated from. While I talk with my student, I remember several months I spent with Sakura. Meanwhile, Kyoko (Keiko Kitagawa), who was Sakura’s friend, is soon to marry. Kyoko also recalls the days she spent with me and Sakura.",$0.00,115,,I want to eat your pancreas
3444,652837,ja,ジョゼと虎と魚たち,21.0,12/25/2020,8.7,135,"['Animation', 'Drama', 'Romance']","With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",$0.00,98,Together they can fly.,"Jose, Tiger and Fish"
3495,401146,ja,四月は君の嘘,20.757,9/10/2016,7.0,37,"['Drama', 'Music', 'Romance']","Arima Kousei won numerous piano competitions while under the strict watch of his mother. He was known as the human metronome during that time. Since the death of his mother, Kousei has been unable to hear the sound of his piano. He then meets Miyazono Kaori through childhood friend Sawabe Tsubaki. Kaori plays the violin and has a free sprit. Since meeting her, Kousei is able to face the piano again. Meanwhile, Kaori holds a secret.",$0.00,122,,Your lie in April
3679,559519,ja,えいがのおそ松さん,26.185,3/15/2019,8.0,5,"['Comedy', 'Animation']","The sextuplets attend a high school class reunion. There, they see all their former classmates who have become ""proper"" adults with company jobs.  The sextuplets sulk about this and go home and drink until they fall asleep. But when they wake up, a certain scene awaits them.",$0.00,108,,Eiga no Osomatsu
3767,3176,ja,バトル・ロワイアル,18.966,12/16/2000,7.3,2496,"['Drama', 'Thriller', 'Action']","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.","$25,000,000.00",123,Could you kill your best friend?,Battle Royale
3790,401917,ja,黒崎くんの言いなりになんてならない,23.846,2/2/2016,7.6,63,"['Comedy', 'Romance']","Yu Akahane (Nana Komatsu) moves to a dormitory room after her father's transfer from work. She is excited that she will live in the same dorm as Takumi Shirakawa (Yudai Chiba) aka ""White Prince."" Yet, Haruto Kurosaki (Kento Nakajima) aka ""Black Devil"" kisses her as punishment for going against him. It is Yu Akahane’s first kiss. Since then, she becomes obedient to Haruto Kurosaki.",$0.00,93,,I can't help Kurosaki -kun
